Subject,Topic,Duration (min),Date,Notes
Machine Learning,Decision Trees,60,2026-08-13,Watched tutorial videos
Machine Learning,Linear Regression,60,2026-08-15,Watched tutorial videos
Machine Learning,Linear Regression,30,2026-08-16,Very productive session
Database Systems,Database Design,45,2026-07-22,Good progress today
Database Systems,Database Design,60,2026-07-27,Challenging but interesting
Database Systems,Joins and Queries,45,2026-07-29,Practice exercises completed
Database Systems,NoSQL Databases,120,2026-08-01,Challenging but interesting
Database Systems,SQL Basics,90,2026-08-05,Very productive session
Database Systems,SQL Basics,60,2026-08-06,Completed coding exercises
Database Systems,NoSQL Databases,120,2026-08-14,Need to review this again
Database Systems,Database Design,60,2026-08-16,Completed coding exercises
Database Systems,NoSQL Databases,120,2026-08-18,Watched tutorial videos
Database Systems,Database Design,120,2026-07-21,Very productive session
Database Systems,Transactions,45,2026-07-26,Good progress today
Database Systems,Database Design,45,2026-07-28,Need to review this again
Database Systems,SQL Basics,30,2026-08-02,Practice exercises completed
Database Systems,NoSQL Databases,30,2026-08-07,Good progress today
Database Systems,Normalization,60,2026-08-08,Good progress today
Database Systems,Normalization,60,2026-08-14,Completed coding exercises
Database Systems,NoSQL Databases,120,2026-08-15,Watched tutorial videos
Database Systems,Normalization,30,2026-08-16,Practice exercises completed
Database Systems,Transactions,45,2026-08-17,Very productive session
Database Systems,Transactions,30,2026-08-19,Practice exercises completed
Database Systems,Transactions,90,2026-07-22,Need to review this again
Database Systems,Transactions,60,2026-07-23,Need to review this again
Database Systems,SQL Basics,30,2026-08-04,Need to review this again
Database Systems,Database Design,60,2026-08-05,Very productive session
Database Systems,SQL Basics,60,2026-08-07,Need to review this again
Database Systems,NoSQL Databases,60,2026-08-15,Very productive session
Database Systems,Transactions,60,2026-08-19,Watched tutorial videos
